,sex,TPR,FPR,TNR,FNR,ACC,Mean_y_hat,Mean_y_target,Mean_y_hat_prob,Model
1,0.0,0.38613861386138615,0.1276595744680851,0.8723404255319149,0.6138613861386139,0.7024221453287197,0.2179930795847751,0.3494809688581315,0.3751012682914734,Xgboost
0,1.0,0.6438127090301003,0.30035971223021585,0.6996402877697842,0.35618729096989965,0.6707105719237435,0.4783362218370884,0.5181975736568457,0.5107645988464355,Xgboost
1,0.0,0.46788990825688076,0.15527950310559005,0.84472049689441,0.5321100917431193,0.6925925925925925,0.2814814814814815,0.40370370370370373,0.4100111424922943,Xgboost
0,1.0,0.6196013289036545,0.3327495621716287,0.6672504378283712,0.3803986710963455,0.6427962489343564,0.4799658994032396,0.5132139812446718,0.5166215300559998,Xgboost
1,0.0,0.5238095238095238,0.15204678362573099,0.847953216374269,0.47619047619047616,0.7246376811594203,0.29347826086956524,0.3804347826086957,0.40962129831314087,Xgboost
0,1.0,0.7070707070707071,0.32167832167832167,0.6783216783216783,0.29292929292929293,0.692967409948542,0.5180102915951973,0.5094339622641509,0.5193573236465454,Xgboost
1,0.0,0.5357142857142857,0.17159763313609466,0.8284023668639053,0.4642857142857143,0.7117437722419929,0.3167259786476868,0.398576512455516,0.4195752739906311,Xgboost
0,1.0,0.69,0.32562277580071175,0.6743772241992882,0.31,0.6824440619621343,0.5137693631669535,0.5163511187607573,0.5231287479400635,Xgboost
1,0.0,0.5348837209302325,0.14942528735632185,0.8505747126436781,0.46511627906976744,0.7461538461538462,0.27692307692307694,0.33076923076923076,0.4126160144805908,Xgboost
0,1.0,0.7018739352640545,0.3523489932885906,0.6476510067114094,0.2981260647359455,0.6745562130177515,0.525781910397295,0.49619611158072696,0.530892550945282,Xgboost
1,0.0,0.4339622641509434,0.13966480446927373,0.8603351955307262,0.5660377358490566,0.7017543859649122,0.24912280701754386,0.3719298245614035,0.39681679010391235,Xgboost
0,1.0,0.6471600688468159,0.29809358752166376,0.7019064124783362,0.3528399311531842,0.6744386873920553,0.47322970639032813,0.501727115716753,0.507798433303833,Xgboost
1,0.0,0.45217391304347826,0.2052980132450331,0.7947019867549668,0.5478260869565217,0.6466165413533834,0.31203007518796994,0.4323308270676692,0.4134957194328308,Xgboost
0,1.0,0.644891122278057,0.3120689655172414,0.6879310344827586,0.35510887772194305,0.6661002548853017,0.48088360237892946,0.5072217502124045,0.5181542634963989,Xgboost
1,0.0,0.4954954954954955,0.15625,0.84375,0.5045045045045045,0.7161716171617162,0.28052805280528054,0.36633663366336633,0.3941934406757355,Xgboost
0,1.0,0.6822916666666666,0.29484902309058614,0.7051509769094139,0.3177083333333333,0.6935908691834943,0.49078138718173836,0.5057067603160668,0.506083071231842,Xgboost
1,0.0,0.4909090909090909,0.1388888888888889,0.8611111111111112,0.509090909090909,0.7206896551724138,0.27241379310344827,0.3793103448275862,0.4107460379600525,Xgboost
0,1.0,0.6666666666666666,0.29577464788732394,0.704225352112676,0.3333333333333333,0.6851691240242844,0.4839549002601908,0.5073720728534259,0.5135164260864258,Xgboost
1,0.0,0.4444444444444444,0.14035087719298245,0.8596491228070176,0.5555555555555556,0.7074074074074074,0.2518518518518518,0.36666666666666664,0.3945728540420532,Xgboost
0,1.0,0.6582064297800339,0.31443298969072164,0.6855670103092784,0.34179357021996615,0.6717817561807332,0.4876385336743393,0.5038363171355499,0.514727771282196,Xgboost
0,0.0,0.5208333333333334,0.19889502762430938,0.8011049723756906,0.4791666666666667,0.703971119133574,0.3104693140794224,0.34657039711191334,0.4074873626232147,Xgboost
1,1.0,0.6512820512820513,0.3218588640275387,0.6781411359724613,0.3487179487179487,0.6646655231560892,0.48713550600343053,0.5017152658662093,0.5165953040122986,Xgboost
1,0.0,0.46825396825396826,0.21153846153846154,0.7884615384615384,0.5317460317460317,0.6453900709219859,0.3262411347517731,0.44680851063829785,0.41320914030075073,Xgboost
0,1.0,0.6957264957264957,0.3177083333333333,0.6822916666666666,0.30427350427350425,0.6890611541774333,0.508182601205857,0.5038759689922481,0.5247896909713745,Xgboost
1,0.0,0.5757575757575758,0.1807909604519774,0.8192090395480226,0.42424242424242425,0.7318840579710145,0.322463768115942,0.358695652173913,0.41699114441871643,Xgboost
0,1.0,0.6571428571428571,0.3169877408056042,0.6830122591943958,0.34285714285714286,0.6698113207547169,0.49056603773584906,0.5102915951972555,0.511718213558197,Xgboost
1,0.0,0.5175438596491229,0.17714285714285713,0.8228571428571428,0.4824561403508772,0.7024221453287197,0.31141868512110726,0.3944636678200692,0.43137964606285095,Xgboost
0,1.0,0.707105719237435,0.317157712305026,0.682842287694974,0.292894280762565,0.6949740034662045,0.5121317157712305,0.5,0.5239806771278381,Xgboost
1,0.0,0.48,0.19886363636363635,0.8011363636363636,0.52,0.6847826086956522,0.3007246376811594,0.36231884057971014,0.40878811478614807,Xgboost
0,1.0,0.666095890410959,0.3156089193825043,0.6843910806174958,0.3339041095890411,0.675235646958012,0.4910025706940874,0.5004284490145673,0.5082317590713501,Xgboost
1,0.0,0.5523809523809524,0.16279069767441862,0.8372093023255814,0.44761904761904764,0.7292418772563177,0.3104693140794224,0.37906137184115524,0.41114485263824463,Xgboost
0,1.0,0.690671031096563,0.32972972972972975,0.6702702702702703,0.309328968903437,0.6809605488850772,0.5188679245283019,0.5240137221269296,0.5309880375862122,Xgboost
1,0.0,0.44,0.1569767441860465,0.8430232558139535,0.56,0.6948529411764706,0.2610294117647059,0.36764705882352944,0.3982560336589813,Xgboost
